table,dataset,backbone,shots,seed,rank,params,encoder,position,dropout,accuracy,status,start_time,seconds
fig3,eurosat,ViT-B/16,4,1,2,q_k_v,both,bottom,0.25,81.49.,OK,2026-06-15T10:41:03,569
fig3,eurosat,ViT-B/16,4,1,2,q_k_v,both,up,0.25,81.94.,OK,2026-06-15T10:50:32,453
fig3,imagenet,ViT-B/16,4,1,2,q_v_k,both,all,0.25,71.46.,OK,2026-06-15T10:33:02,1683
fig3,eurosat,ViT-B/16,4,1,2,q_k_v,both,all,0.25,87.05.,OK,2026-06-15T10:58:05,581
fig3,imagenet,ViT-B/16,4,1,2,q_v_k_o,vision,all,0.25,70.08.,OK,2026-06-15T11:01:05,518
fig3,imagenet,ViT-B/16,4,1,2,q_v_k_o,text,all,0.25,71.01.,OK,2026-06-15T11:09:43,1625
fig3,imagenet,ViT-B/16,4,1,2,q_v_k_o,both,all,0.25,71.47.,OK,2026-06-15T11:36:48,1767
fig3,imagenet,ViT-B/16,4,1,4,k,vision,all,0.25,FAILED,FAILED,2026-06-15T13:25:29,3
fig3,imagenet,ViT-B/16,4,1,4,k,text,all,0.25,FAILED,FAILED,2026-06-15T13:25:32,2
fig3,imagenet,ViT-B/16,4,1,4,k,both,all,0.25,FAILED,FAILED,2026-06-15T13:25:35,10
fig3,imagenet,ViT-B/16,4,1,4,q,vision,all,0.25,FAILED,FAILED,2026-06-15T13:25:45,2
fig3,imagenet,ViT-B/16,4,1,4,q,text,all,0.25,FAILED,FAILED,2026-06-15T13:25:47,3
fig3,imagenet,ViT-B/16,4,1,4,q,both,all,0.25,FAILED,FAILED,2026-06-15T13:25:50,3
fig3,imagenet,ViT-B/16,4,1,4,v,vision,all,0.25,FAILED,FAILED,2026-06-15T13:25:53,9
fig3,imagenet,ViT-B/16,4,1,4,v,text,all,0.25,FAILED,FAILED,2026-06-15T13:26:02,3
fig3,imagenet,ViT-B/16,4,1,4,v,both,all,0.25,FAILED,FAILED,2026-06-15T13:26:05,3
fig3,imagenet,ViT-B/16,4,1,4,o,vision,all,0.25,FAILED,FAILED,2026-06-15T13:26:09,3
fig3,imagenet,ViT-B/16,4,1,4,o,text,all,0.25,FAILED,FAILED,2026-06-15T13:26:12,3
fig3,imagenet,ViT-B/16,4,1,4,o,both,all,0.25,FAILED,FAILED,2026-06-15T13:26:15,12
fig3,imagenet,ViT-B/16,4,1,4,q_v,vision,all,0.25,FAILED,FAILED,2026-06-15T13:26:27,4
fig3,imagenet,ViT-B/16,4,1,4,q_v,text,all,0.25,FAILED,FAILED,2026-06-15T13:26:31,2
fig3,imagenet,ViT-B/16,4,1,4,q_v,both,all,0.25,FAILED,FAILED,2026-06-15T13:26:33,3
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,vision,all,0.25,FAILED,FAILED,2026-06-15T13:26:36,3
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,text,all,0.25,FAILED,FAILED,2026-06-15T13:26:39,2
fig3,imagenet,ViT-B/16,4,1,4,q_v_k,both,all,0.25,FAILED,FAILED,2026-06-15T13:26:41,6
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,vision,all,0.25,FAILED,FAILED,2026-06-15T13:26:47,4
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,text,all,0.25,FAILED,FAILED,2026-06-15T13:26:51,8
fig3,imagenet,ViT-B/16,4,1,4,q_v_k_o,both,all,0.25,FAILED,FAILED,2026-06-15T13:26:59,3
fig3,imagenet,ViT-B/16,4,1,8,k,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:02,3
fig3,imagenet,ViT-B/16,4,1,8,k,text,all,0.25,FAILED,FAILED,2026-06-15T13:27:05,3
fig3,imagenet,ViT-B/16,4,1,8,k,both,all,0.25,FAILED,FAILED,2026-06-15T13:27:08,3
fig3,imagenet,ViT-B/16,4,1,8,q,vision,all,0.25,FAILED,FAILED,2026-06-15T13:27:11,3
fig3,imagenet,ViT-B/16,4,1,8,q,text,all,0.25,FAILED,FAILED,2026-06-15T13:27:14,3
