table,dataset,backbone,shots,rank,params,encoder,position,n_seeds,mean_acc,std_acc,mean_sec,total_sec,seeds
fig3,imagenet,ViT-B/16,4,8,o,text,all,1,70.94,0.0,1457,1457,1
fig3,imagenet,ViT-B/16,4,8,o,vision,all,1,69.99,0.0,478,478,1
fig3,imagenet,ViT-B/16,4,8,q,both,all,1,71.17,0.0,1568,1568,1
fig3,imagenet,ViT-B/16,4,8,q,text,all,1,70.71,0.0,1448,1448,1
fig3,imagenet,ViT-B/16,4,8,q,vision,all,1,69.19,0.0,469,469,1
fig3,imagenet,ViT-B/16,4,8,q_v,both,all,1,71.37,0.0,1653,1653,1
fig3,imagenet,ViT-B/16,4,8,q_v,text,all,1,70.86,0.0,1520,1520,1
fig3,imagenet,ViT-B/16,4,8,q_v,vision,all,1,70.07,0.0,487,487,1
fig3,imagenet,ViT-B/16,4,8,q_v_k,both,all,1,71.22,0.0,1730,1730,1
fig3,imagenet,ViT-B/16,4,8,q_v_k,text,all,1,71.07,0.0,1602,1602,1
fig3,imagenet,ViT-B/16,4,8,q_v_k,vision,all,1,70.21,0.0,506,506,1
fig3,imagenet,ViT-B/16,4,8,q_v_k_o,both,all,1,71.12,0.0,1809,1809,1
fig3,imagenet,ViT-B/16,4,8,q_v_k_o,text,all,1,70.74,0.0,1668,1668,1
fig3,imagenet,ViT-B/16,4,8,q_v_k_o,vision,all,1,70.13,0.0,515,515,1
fig3,imagenet,ViT-B/16,4,8,v,both,all,1,71.44,0.0,1566,1566,1
fig3,imagenet,ViT-B/16,4,8,v,text,all,1,70.99,0.0,1444,1444,1
fig3,imagenet,ViT-B/16,4,8,v,vision,all,1,69.75,0.0,481,481,1
fig3,imagenet,ViT-B/16,4,16,k,both,all,1,71.25,0.0,1548,1548,1
fig3,imagenet,ViT-B/16,4,16,k,text,all,1,70.96,0.0,1445,1445,1
fig3,imagenet,ViT-B/16,4,16,k,vision,all,1,68.87,0.0,465,465,1
fig3,imagenet,ViT-B/16,4,16,o,both,all,1,71.43,0.0,1627,1627,1
fig3,imagenet,ViT-B/16,4,16,o,text,all,1,71.16,0.0,1520,1520,1
fig3,imagenet,ViT-B/16,4,16,o,vision,all,1,70.07,0.0,460,460,1
fig3,imagenet,ViT-B/16,4,16,q,both,all,1,71.12,0.0,1549,1549,1
fig3,imagenet,ViT-B/16,4,16,q,text,all,1,70.67,0.0,1442,1442,1
fig3,imagenet,ViT-B/16,4,16,q,vision,all,1,69.18,0.0,468,468,1
fig3,imagenet,ViT-B/16,4,16,q_v,both,all,1,71.36,0.0,1727,1727,1
fig3,imagenet,ViT-B/16,4,16,q_v,text,all,1,70.73,0.0,1625,1625,1
fig3,imagenet,ViT-B/16,4,16,q_v,vision,all,1,69.99,0.0,486,486,1
fig3,imagenet,ViT-B/16,4,16,q_v_k,both,all,1,71.15,0.0,1835,1835,1
fig3,imagenet,ViT-B/16,4,16,q_v_k,text,all,1,70.47,0.0,1725,1725,1
fig3,imagenet,ViT-B/16,4,16,q_v_k,vision,all,1,70.21,0.0,513,513,1
fig3,imagenet,ViT-B/16,4,16,q_v_k_o,both,all,1,70.65,0.0,1933,1933,1
fig3,imagenet,ViT-B/16,4,16,q_v_k_o,text,all,1,70.25,0.0,1794,1794,1
fig3,imagenet,ViT-B/16,4,16,q_v_k_o,vision,all,1,70.06,0.0,523,523,1
fig3,imagenet,ViT-B/16,4,16,v,both,all,1,71.44,0.0,1609,1609,1
fig3,imagenet,ViT-B/16,4,16,v,text,all,1,71.06,0.0,1489,1489,1
fig3,imagenet,ViT-B/16,4,16,v,vision,all,1,69.89,0.0,468,468,1
fig3,imagenet,ViT-B/16,4,32,k,both,all,1,71.39,0.0,1621,1621,1
fig3,imagenet,ViT-B/16,4,32,k,text,all,1,71.04,0.0,1525,1525,1
fig3,imagenet,ViT-B/16,4,32,k,vision,all,1,68.95,0.0,471,471,1
fig3,imagenet,ViT-B/16,4,32,o,both,all,1,71.45,0.0,1608,1608,1
fig3,imagenet,ViT-B/16,4,32,o,text,all,1,71.13,0.0,1523,1523,1
fig3,imagenet,ViT-B/16,4,32,o,vision,all,1,70.09,0.0,455,455,1
fig3,imagenet,ViT-B/16,4,32,q,both,all,1,71.12,0.0,1639,1639,1
fig3,imagenet,ViT-B/16,4,32,q,text,all,1,70.61,0.0,1526,1526,1
fig3,imagenet,ViT-B/16,4,32,q,vision,all,1,69.29,0.0,453,453,1
fig3,imagenet,ViT-B/16,4,32,q_v,both,all,1,70.84,0.0,1817,1817,1
fig3,imagenet,ViT-B/16,4,32,q_v,text,all,1,70.59,0.0,1613,1613,1
fig3,imagenet,ViT-B/16,4,32,q_v,vision,all,1,70.11,0.0,489,489,1
fig3,imagenet,ViT-B/16,4,32,q_v_k,both,all,1,70.83,0.0,1801,1801,1
fig3,imagenet,ViT-B/16,4,32,q_v_k,text,all,1,70.49,0.0,1689,1689,1
fig3,imagenet,ViT-B/16,4,32,q_v_k,vision,all,1,70.11,0.0,526,526,1
fig3,imagenet,ViT-B/16,4,32,q_v_k_o,both,all,1,70.41,0.0,1888,1888,1
